design_name,design_id,num_ips,lut_util_pct,ff_util_pct,slice_util_pct,bram_util_pct,dsp_util_pct,io_util_pct,synth_lut_util_pct,synth_ff_util_pct,synth_bram_util_pct,synth_dsp_util_pct,wns_ns,tns_ns,failing_endpoints,total_endpoints,logic_levels,max_logic_levels,data_path_delay_ns,clk_period_ns,congestion_north_pct,congestion_south_pct,congestion_east_pct,congestion_west_pct,congestion_max_pct,has_congestion_hotspot,synth_elapsed_s,opt_elapsed_s,place_elapsed_s,route_elapsed_s,impl_elapsed_s,total_elapsed_s
design_0000,0,3,2.23,1.7,4.09,0.0,0.14,7.6,,,,,0.858,0.0,0,9862,6,7,6.626,8.333,,,,,,,23.0,84.0,17.0,43.0,144.0,167.0
design_0001,1,4,3.66,3.5,6.46,0.0,2.57,10.6,,,,,0.469,0.0,0,23683,7,7,7.784,8.333,,,,,,,24.0,86.0,21.0,47.0,154.0,178.0
design_0002,2,9,10.32,5.35,16.27,0.0,4.86,24.4,,,,,-145.626,-10051.279,2237,34998,332,13,153.594,8.333,54.955,58.5586,64.7059,72.0588,72.0588,False,25.0,17.0,72.0,139.0,228.0,253.0
design_0003,3,2,2.46,2.47,5.43,0.0,1.89,48.4,,,,,1.039,0.0,0,16075,1,7,7.25,8.333,,,,,,,24.0,88.0,16.0,43.0,147.0,171.0
design_0004,4,4,4.22,2.22,6.61,0.55,0.0,13.8,,,,,-0.581,-33.866,102,18274,12,13,8.71,8.333,54.955,61.2613,63.2353,72.0588,72.0588,False,23.0,11.0,30.0,58.0,99.0,122.0
design_0005,5,4,4.27,2.93,5.88,0.0,4.32,5.4,,,,,0.433,0.0,0,18312,6,9,7.358,8.333,,,,,,,23.0,14.0,23.0,48.0,85.0,108.0
design_0006,6,3,1.82,1.38,3.55,0.0,0.0,1.8,,,,,1.774,0.0,0,7682,4,6,5.421,8.333,,,,,,,23.0,83.0,12.0,42.0,137.0,160.0
design_0007,7,16,18.89,12.53,29.62,0.0,2.03,35.8,,,,,0.258,0.0,0,151422,10,16,7.431,8.333,,,,,,,27.0,28.0,115.0,113.0,256.0,283.0
design_0008,8,2,0.55,0.26,0.89,0.0,0.0,17.4,,,,,0.359,0.0,0,952,16,16,7.931,8.333,,,,,,,23.0,7.0,6.0,42.0,55.0,78.0
design_0009,9,19,35.57,22.55,45.34,14.52,12.97,33.4,,,,,-1.006,-386.965,1807,148393,12,25,8.956,8.333,75.6757,81.982,86.3971,97.0588,97.0588,True,28.0,58.0,196.0,191.0,445.0,473.0
design_0010,10,14,25.87,13.91,37.77,0.0,0.0,41.0,,,,,-2.452,-4641.923,4049,78779,15,18,10.304,8.333,75.6757,72.0721,77.9412,80.8824,80.8824,False,33.0,39.0,138.0,115.0,292.0,325.0
design_0011,11,17,14.47,9.02,24.56,12.6,4.19,55.2,,,,,-1.684,-3138.165,4336,70131,13,21,9.625,8.333,60.3604,62.1622,72.0588,66.1765,72.0588,False,30.0,32.0,88.0,131.0,251.0,281.0
design_0012,12,8,15.87,13.83,25.69,0.0,14.19,4.2,,,,,-0.534,-0.91,3,102391,16,20,8.797,8.333,83.7838,80.1802,91.1765,89.7059,91.1765,True,25.0,44.0,118.0,172.0,334.0,359.0
design_0013,13,9,3.29,1.87,6.12,0.0,0.0,20.8,,,,,-0.376,-0.859,6,12234,10,12,7.94,8.333,49.5495,63.964,64.7059,83.8235,83.8235,False,23.0,11.0,23.0,51.0,85.0,108.0
design_0014,14,12,18.34,9.83,31.15,4.38,0.0,15.0,,,,,-16.632,-28674.51,13498,69459,39,39,24.795,8.333,83.7838,64.8649,72.0588,86.7647,86.7647,True,32.0,31.0,94.0,90.0,215.0,247.0
design_0015,15,15,15.26,8.4,23.04,1.64,2.57,64.0,,,,,-1.148,-103.568,356,60347,4,16,8.59,8.333,62.1622,65.7658,73.5294,91.1765,91.1765,True,30.0,24.0,85.0,113.0,222.0,252.0
design_0016,16,6,3.72,2.29,4.96,1.92,2.16,34.0,,,,,0.856,0.0,0,11885,8,8,6.542,8.333,,,,,,,22.0,11.0,22.0,43.0,76.0,98.0
design_0017,17,16,17.86,10.94,28.45,2.74,6.89,41.8,,,,,-2.27,-1367.824,1834,76744,14,16,10.15,8.333,69.3694,62.1622,66.1765,76.4706,76.4706,False,28.0,34.0,109.0,101.0,244.0,272.0
design_0018,18,4,4.1,2.27,8.22,0.82,0.0,22.0,,,,,-0.12,-0.166,2,15200,14,14,8.374,8.333,53.1532,56.7568,67.6471,66.1765,67.6471,False,23.0,10.0,25.0,65.0,100.0,123.0
design_0019,19,6,5.73,3.25,9.26,0.0,2.16,19.4,,,,,0.193,0.0,0,24860,7,11,7.554,8.333,,,,,,,24.0,13.0,45.0,62.0,120.0,144.0
design_0020,20,12,13.96,8.73,20.62,7.4,8.51,8.8,,,,,0.116,0.0,0,55002,0,18,7.533,8.333,,,,,,,25.0,26.0,71.0,74.0,171.0,196.0
design_0021,21,19,14.44,9.62,25.02,0.0,3.92,34.4,,,,,-0.049,-0.049,1,57598,10,28,8.351,8.333,72.0721,75.6757,80.8824,77.9412,80.8824,False,24.0,30.0,71.0,108.0,209.0,233.0
design_0022,22,2,10.39,5.35,18.39,1.64,3.38,0.4,,,,,-1.821,-1111.153,1228,39144,10,16,9.482,8.333,72.0721,72.0721,69.1176,75.0,75.0,False,23.0,16.0,65.0,89.0,170.0,193.0
design_0023,23,4,1.56,0.59,2.61,0.0,0.0,58.2,,,,,0.202,0.0,0,4785,5,10,7.524,8.333,,,,,,,25.0,8.0,12.0,44.0,64.0,89.0
design_0024,24,13,9.86,6.22,15.46,6.58,5.54,48.4,,,,,-0.582,-0.582,1,45346,0,12,1.609,8.333,50.4505,56.7568,77.9412,76.4706,77.9412,False,25.0,22.0,53.0,62.0,137.0,162.0
design_0025,25,6,5.68,3.6,7.24,0.0,2.03,32.2,,,,,-0.377,-29.428,366,20468,0,23,8.005,8.333,59.4595,57.6577,69.1176,50.0,69.1176,False,23.0,13.0,28.0,47.0,88.0,111.0
